"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","1","1","1","1.0"
"2","Saquon Barkley","PHI","9","RB1","2","2","4","2.7"
"3","Bijan Robinson","ATL","5","RB2","3","3","2","2.7"
"4","Jahmyr Gibbs","DET","8","RB3","4","5","3","4.0"
"5","Justin Jefferson","MIN","6","WR2","5","4","6","5.0"
"6","CeeDee Lamb","DAL","10","WR3","6","6","5","5.7"
"7","Derrick Henry","BAL","7","RB4","7","7","13","9.0"
"8","Christian McCaffrey","SF","14","RB5","8","12","7","9.0"
"9","Amon-Ra St. Brown","DET","8","WR4","10","8","10","9.3"
"10","Ashton Jeanty","LV","8","RB6","11","10","8","9.7"
"11","Puka Nacua","LAR","8","WR5","12","9","11","10.7"
"12","Malik Nabers","NYG","14","WR6","13","11","9","11.0"
"13","Nico Collins","HOU","6","WR7","9","13","15","12.3"
"14","De'Von Achane","MIA","12","RB7","15","14","12","13.7"
"15","Brian Thomas Jr.","JAC","8","WR8","14","15","14","14.3"
"16","Josh Jacobs","GB","5","RB8","16","19","16","17.0"
"17","Brock Bowers","LV","8","TE1","19","16","19","18.0"
"18","Drake London","ATL","5","WR9","18","18","20","18.7"
"19","Bucky Irving","TB","9","RB9","20","20","18","19.3"
"20","Jonathan Taylor","IND","11","RB10","17","21","21","19.7"
"21","A.J. Brown","PHI","9","WR10","23","17","25","21.7"
"22","Lamar Jackson","BAL","7","QB1","21","24","22","22.3"
"23","Josh Allen","BUF","7","QB2","22","22","23","22.3"
"24","Chase Brown","CIN","10","RB11","26","27","17","23.3"
"25","Kyren Williams","LAR","8","RB12","25","26","24","25.0"
"26","Ladd McConkey","LAC","12","WR11","24","23","29","25.3"
"27","Trey McBride","ARI","8","TE2","27","25","27","26.3"
"28","Tyreek Hill","MIA","12","WR12","34","29","26","29.7"
"29","Jayden Daniels","WAS","12","QB3","28","31","30","29.7"
"30","Jaxon Smith-Njigba","SEA","8","WR13","32","28","35","31.7"
"31","Tee Higgins","CIN","10","WR14","29","30","36","31.7"
"32","James Cook","BUF","7","RB13","30","33","33","32.0"
"33","Breece Hall","NYJ","9","RB14","37","32","28","32.3"
"34","Garrett Wilson","NYJ","9","WR15","36","34","37","35.7"
"35","George Kittle","SF","14","TE3","31","37","41","36.3"
"36","Omarion Hampton","LAC","12","RB15","44","38","31","37.7"
"37","Joe Burrow","CIN","10","QB4","39","42","32","37.7"
"38","Jalen Hurts","PHI","9","QB5","33","40","40","37.7"
"39","Mike Evans","TB","9","WR16","35","35","47","39.0"
"40","Marvin Harrison Jr.","ARI","8","WR17","40","36","43","39.7"
"41","Alvin Kamara","NO","11","RB16","45","41","34","40.0"
"42","Davante Adams","LAR","8","WR18","38","43","39","40.0"
"43","Kenneth Walker III","SEA","8","RB17","43","45","38","42.0"
"44","Chuba Hubbard","CAR","14","RB18","41","44","42","42.3"
"45","Terry McLaurin","WAS","12","WR19","42","39","48","43.0"
"46","DJ Moore","CHI","5","WR20","51","47","45","47.7"
"47","James Conner","ARI","8","RB19","46","49","49","48.0"
"48","DK Metcalf","PIT","5","WR21","48","48","51","49.0"
"49","Courtland Sutton","DEN","12","WR22","54","50","50","51.3"
"50","Rashee Rice","KC","10","WR23","55","46","56","52.3"
"51","Sam LaPorta","DET","8","TE4","47","51","62","53.3"
"52","David Montgomery","DET","8","RB20","50","53","58","53.7"
"53","DeVonta Smith","PHI","9","WR24","52","54","55","53.7"
"54","Patrick Mahomes II","KC","10","QB6","49","60","54","54.3"
"55","RJ Harvey","DEN","12","RB21","57","57","52","55.3"
"56","TreVeyon Henderson","NE","14","RB22","73","61","44","59.3"
"57","Xavier Worthy","KC","10","WR25","60","56","65","60.3"
"58","Zay Flowers","BAL","7","WR26","56","55","71","60.7"
